10.0	200.0	7.884	10.371	0.373	7.0	2.0	3.0	5.0	2020.0	1955.0	7794.0	7496.0
62.0	200.0	0.707	3.949	0.674	6.0	1.0	3.0	5.0	2069.0	1955.0	7547.0	7496.0
48.0	200.0	3.571	8.476	0.609	8.0	0.0	3.0	5.0	2063.0	1955.0	7662.0	7496.0
40.0	100.0	0.628	9.278	0.336	4.0	2.0	3.0	5.0	2048.0	1955.0	7679.0	7496.0
12.0	100.0	2.429	13.013	0.259	3.0	1.0	3.0	5.0	2041.0	1955.0	7972.0	7496.0
69.0	100.0	6.746	3.71	0.515	12.0	0.0	3.0	5.0	2060.0	1955.0	7792.0	7496.0
34.0	200.0	0.667	6.854	0.405	9.0	2.0	3.0	5.0	2040.0	1955.0	7662.0	7496.0
23.0	200.0	0.057	12.307	0.447	9.0	1.0	3.0	5.0	2060.0	1955.0	7829.0	7496.0
22.0	200.0	0.819	12.286	0.685	14.0	0.0	3.0	5.0	2069.0	1955.0	7679.0	7496.0
62.0	50.0	2.807	6.441	0.472	8.0	2.0	3.0	5.0	2060.0	1955.0	7662.0	7496.0
52.0	50.0	0.687	5.562	0.489	3.0	1.0	3.0	5.0	2061.0	1955.0	7697.0	7496.0
54.0	50.0	1.134	4.69	0.698	3.0	0.0	3.0	5.0	2062.0	1955.0	7679.0	7496.0
